Y;X
4.459.367;-75.322.415
4.579.233;-75.271.759
4.604.998;-75.263.978
3.790.184;-74.681.363
3.242.856;-75.976.542
4.211.249;-75.422.341
4.144.157;-75.630.903
4.781.405;-75.328.146
3.572.417;-75.969.528
3.757.694;-75.698.056
3.599.417;-75.912.889
3.878.556;-75.833.389
3.715.167;-75.896.389
3.724.917;-75.788.028
3.717.333;-758.885
3.570.806;-75.957.722
3.730.333;-75.775.389
384.942;-758.529
389.075;-75.858.556
3.707.833;-75.941.861
3.888.417;-75.855.833
36.885;-75.858.694
3.636.722;-75.926.222
3.593.861;-75.939.694
3.361.611;-76.038.722
3.584.194;-75.955.722
3.797.722;-75.840.028
3.570.944;-759.741
3.709.778;-75.728.111
3.570.944;-75.973.194
3.801.611;-75.839.639
3.935.444;-75.734.556
3.829.472;-75.852.333
3.933.833;-75.735.722
3.719.472;-75.898.806
3.737.861;-75.780.056
3.683.639;-75.706.972
3.706.556;-75.939.722
3.636.611;-75.955.561
375.225;-75.698.722
3.829.778;-75.855.639
3.571.667;-75.974.139
3.634.833;-75.960.361
3.892.167;-75.832.306
3.705.972;-75.944.833
3.729.639;-75.779.139
3.755.167;-75.698.056
3.888.889;-75.833.667
3.823.361;-75.857.389
384.175;-75.857.889
37.055;-75.935.194
3.884.667;-75.832.889
3.734.833;-75.779.389
3.707.861;-7.572.425
3.601.306;-75.913.944
3.649.639;-75.943.222
3.812.444;-75.833.556
4.068.417;-75.630.667
