X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.013885077152450125,90.92287744070126,0.9979691151434935
2.0,2.0,train,0.0020744460981237845,35.45111004669274,0.6039361865675377
3.0,3.0,train,0.004273834909511214,57.90205836247743,0.8516443970015265
4.0,4.0,train,0.001124061862746001,23.28338011929098,0.39459702974117905
5.0,5.0,train,6.818246096508975E-4,19.114126095249905,0.26244519842400216
6.0,6.0,train,4.501357482291133E-4,14.116643231307561,0.18206510704343382
7.0,7.0,train,0.0018931870222531895,33.27106728430667,0.5705513157263263
8.0,8.0,train,0.027170110121481943,100.0,0.9999946083822605
9.0,9.0,train,0.009660974452871823,84.37219537899219,0.9866113040545386
10.0,10.0,train,0.0013259740878622955,29.583782004436845,0.44678519695303454
11.0,11.0,train,9.055244670362625E-4,22.636050296663953,0.3325497182977545
12.0,12.0,train,0.0017183215195991112,32.52354771534532,0.5356796957935835
13.0,13.0,train,0.006678768846252976,75.20752083911151,0.9493023804722208
14.0,14.0,train,0.004428708463904314,58.34491077761883,0.861556047216135
15.0,15.0,train,0.006065710191030881,71.96949449228443,0.9333408819531992
16.0,16.0,train,5.963562994963639E-4,15.2430566243638,0.23375687806371714
17.0,17.0,train,5.92817383151816E-4,14.284715491052964,0.2325452390679752
18.0,18.0,train,0.012664430877033695,86.81971056703117,0.9964975781045582
19.0,19.0,train,0.003710635795573975,52.953588908680175,0.8092308301319949
20.0,20.0,train,0.015380893652275008,93.95827421347448,0.9989585302224651
21.0,21.0,train,0.0035964406309477587,51.85523419584793,0.7992522816872418
22.0,22.0,train,0.0023274542849071405,38.47575580584265,0.6462414791418114
23.0,23.0,train,0.0031573313655814932,47.708882499065965,0.7557729022064026
24.0,24.0,train,0.014969340819643831,92.42036110607498,0.9987484542963391
25.0,25.0,train,0.0029896841361488056,46.76362672450401,0.7367910666589628
26.0,26.0,train,0.006457624504350351,73.88846122128078,0.9440413243530374
27.0,27.0,train,6.269519253337637E-4,15.968957734056115,0.24415263882866167
28.0,28.0,train,0.013805233894770633,89.5353557976636,0.9978954129256428
29.0,29.0,train,0.013345932824687668,88.15434204354821,0.9974163997492665
30.0,30.0,train,0.0019669088537829713,33.657172628226235,0.5844563762539587
31.0,31.0,train,0.01753111185871171,97.28299233069637,0.9996012326115115
32.0,32.0,train,0.0059133132878047895,69.56127292363429,0.9286474820462397
33.0,33.0,train,0.004186920220205718,56.62215887557459,0.8457743176667908
34.0,34.0,train,0.01571579867765553,95.52987159665528,0.9991031730929375
35.0,35.0,train,0.007220126172935786,80.08837856322538,0.960187591566156
36.0,36.0,train,0.0035620256516586462,49.71153961902275,0.7961439157128942
37.0,37.0,train,0.001112120953793163,22.972460823441928,0.39136084479970035
38.0,38.0,train,0.005342002923415291,65.0565608619662,0.9079155474129376
39.0,39.0,train,0.005624025370177836,66.1531343220992,0.9188100649382407
40.0,40.0,train,0.0021428903159944686,37.78748819903534,0.615856189950055
41.0,41.0,train,0.002817952170878453,44.426114132709465,0.7158161252089877
42.0,42.0,train,0.005633535738847566,66.71625347576516,0.9191540749301828
43.0,43.0,train,0.011810140803815681,85.55326750095041,0.994871206705447
44.0,44.0,train,0.004755758280460475,61.0707543698062,0.8803647744763298
45.0,45.0,train,0.006512409043854222,74.53963722112975,0.9453934533463929
